Date,Price,Open,High,Low,Volume,Chg%
"Sep 02, 2016","30,900","30,800","30,971","30,610",0.28K,0.62%
"Sep 01, 2016","30,710","30,757","30,822","30,611",1.25K,-0.12%
"Aug 31, 2016","30,746","30,891","30,906","30,711",6.82K,-0.30%
"Aug 30, 2016","30,840","31,069","31,069","30,820",7.24K,-0.76%
"Aug 29, 2016","31,077","31,000","31,115","30,876",9.59K,0.17%
"Aug 26, 2016","31,023","30,967","31,335","30,941",17.46K,0.25%
"Aug 25, 2016","30,945","31,042","31,062","30,884",9.05K,-0.33%
"Aug 24, 2016","31,049","31,319","31,364","31,000",13.55K,-1.03%
"Aug 23, 2016","31,373","31,372","31,414","31,285",10.23K,-0.07%
"Aug 22, 2016","31,395","31,310","31,428","31,191",12.10K,0.10%
"Aug 19, 2016","31,365","31,341","31,466","31,252",16.52K,-0.15%
"Aug 18, 2016","31,411","31,400","31,447","31,302",9.81K,0.31%
"Aug 17, 2016","31,314","31,265","31,349","31,185",10.41K,-0.11%
"Aug 16, 2016","31,349","31,120","31,440","31,120",16.05K,0.87%
"Aug 12, 2016","31,080","31,100","31,400","30,990",19.75K,-0.29%
"Aug 11, 2016","31,171","31,160","31,316","31,082",14.96K,-0.15%
"Aug 10, 2016","31,219","31,180","31,385","31,120",14.45K,0.28%
"Aug 09, 2016","31,133","30,942","31,165","30,891",12.60K,0.44%
"Aug 08, 2016","30,998","31,031","31,031","30,863",11.13K,0.71%
"Aug 05, 2016","30,779","31,310","31,380","30,738",0.43K,-1.72%
"Aug 04, 2016","31,317","31,105","31,360","31,072",0.06K,0.38%
"Aug 03, 2016","31,199","31,302","31,439","31,158",0.35K,-0.27%
"Aug 02, 2016","31,282","31,000","31,322","30,993",1.24K,0.87%
"Aug 01, 2016","31,011","31,000","31,118","30,950",5.27K,-0.28%
"Jul 29, 2016","31,099","30,943","31,139","30,812",16.74K,0.99%
"Jul 28, 2016","30,795","30,928","31,180","30,740",18.99K,-0.27%
"Jul 27, 2016","30,878","30,786","30,930","30,690",14.32K,0.18%
"Jul 26, 2016","30,822","30,796","30,880","30,711",14.21K,0.03%
"Jul 25, 2016","30,814","30,701","30,849","30,620",14.75K,0.06%
"Jul 22, 2016","30,794","30,939","30,939","30,730",14.22K,-0.47%
"Jul 21, 2016","30,940","30,611","30,970","30,553",21.33K,0.89%
"Jul 20, 2016","30,666","31,045","31,050","30,631",19.82K,-1.14%
"Jul 19, 2016","31,021","31,000","31,041","30,871",13.33K,0.23%
"Jul 18, 2016","30,950","30,850","31,028","30,810",17.94K,0.09%
"Jul 15, 2016","30,922","30,822","31,038","30,782",24.11K,0.09%
"Jul 14, 2016","30,895","31,199","31,199","30,711",26.76K,-1.06%
"Jul 13, 2016","31,225","31,120","31,260","31,064",16.80K,0.72%
"Jul 12, 2016","31,001","31,561","31,577","30,951",22.10K,-1.66%
"Jul 11, 2016","31,524","31,750","31,888","31,482",15.15K,-0.42%
"Jul 08, 2016","31,657","31,832","31,833","31,284",25.97K,-0.50%
"Jul 07, 2016","31,817","32,011","32,090","31,653",23.88K,-0.63%
"Jul 06, 2016","32,018","31,948","32,350","31,948",12.41K,3.82%
"Jul 05, 2016","30,841","31,306","31,570","30,500",0.64K,-1.77%
"Jul 04, 2016","31,396","31,390","31,484","31,267",4.73K,1.03%
"Jul 01, 2016","31,077","31,096","31,220","31,010",4.14K,0.73%
"Jun 30, 2016","30,851","30,905","30,949","30,812",10.66K,-0.44%
"Jun 29, 2016","30,986","31,096","31,146","30,920",14.49K,-0.04%
"Jun 28, 2016","30,999","31,016","31,085","30,859",14.94K,-0.70%
"Jun 27, 2016","31,218","31,192","31,387","31,135",19.52K,0.28%
"Jun 24, 2016","31,131","29,835","32,357","29,835",48.21K,4.87%
"Jun 23, 2016","29,686","29,879","29,953","29,641",22.54K,-0.71%
"Jun 22, 2016","29,898","30,054","30,054","29,835",16.55K,-0.58%
"Jun 21, 2016","30,072","30,357","30,402","30,026",20.45K,-1.33%
"Jun 20, 2016","30,478","30,262","30,505","30,132",21.90K,0.35%
"Jun 17, 2016","30,373","30,320","30,415","30,091",18.37K,-0.06%
"Jun 16, 2016","30,392","30,302","30,985","30,237",34.14K,0.43%
"Jun 15, 2016","30,262","30,300","30,339","30,132",14.90K,-0.31%
"Jun 14, 2016","30,357","30,141","30,385","30,042",19.07K,0.58%
"Jun 13, 2016","30,181","29,894","30,220","29,894",19.27K,1.11%
"Jun 10, 2016","29,851","29,760","29,900","29,624",15.50K,0.32%
"Jun 09, 2016","29,757","29,521","29,777","29,452",18.02K,0.90%
"Jun 08, 2016","29,491","29,275","29,572","29,275",15.92K,0.86%
"Jun 07, 2016","29,239","29,243","29,325","29,062",13.48K,-0.31%
"Jun 06, 2016","29,329","29,287","29,376","29,220",12.97K,0.39%
"Jun 03, 2016","29,216","28,703","29,410","28,540",0.33K,2.32%
"Jun 02, 2016","28,554","28,616","28,715","28,530",0.35K,-0.25%
"Jun 01, 2016","28,626","28,531","28,800","28,500",2.60K,0.06%
"May 31, 2016","28,610","28,596","28,719","28,541",10.87K,0.07%
"May 30, 2016","28,590","28,430","28,696","28,400",12.97K,0.00%
"May 27, 2016","28,590","28,840","28,840","28,547",18.29K,-0.48%
"May 26, 2016","28,729","28,996","29,157","28,705",26.94K,-0.75%
"May 25, 2016","28,945","29,278","29,278","28,884",26.95K,-1.23%
"May 24, 2016","29,306","29,580","29,651","29,283",22.80K,-1.27%
"May 23, 2016","29,682","29,694","29,745","29,576",15.64K,-0.04%
"May 20, 2016","29,693","29,730","29,867","29,661",20.09K,-0.36%
"May 19, 2016","29,800","29,995","29,995","29,632",26.13K,-0.83%
"May 18, 2016","30,049","30,024","30,078","29,910",20.74K,0.01%
"May 17, 2016","30,045","30,040","30,130","29,860",24.61K,0.27%
"May 16, 2016","29,963","30,075","30,245","29,915",23.17K,-0.20%
"May 13, 2016","30,023","29,900","30,058","29,766",24.07K,0.40%
"May 12, 2016","29,904","29,933","30,085","29,765",25.80K,-0.10%
"May 11, 2016","29,933","29,825","30,072","29,825",23.18K,0.50%
"May 10, 2016","29,785","29,851","29,862","29,622",19.51K,-0.07%
"May 09, 2016","29,805","30,312","30,312","29,750",29.60K,-1.85%
"May 06, 2016","30,366","29,950","30,400","29,950",33.82K,1.67%
"May 05, 2016","29,868","29,912","30,135","29,832",0.11K,-0.22%
"May 04, 2016","29,934","30,145","30,200","29,920",0.17K,-0.73%
"May 03, 2016","30,154","30,175","30,337","30,050",0.63K,-0.20%
"May 02, 2016","30,213","30,177","30,342","30,120",2.92K,0.25%
"Apr 29, 2016","30,138","29,651","30,192","29,651",18.88K,1.72%
"Apr 28, 2016","29,627","29,268","29,650","29,200",16.43K,1.05%
"Apr 27, 2016","29,319","29,200","29,355","29,200",15.58K,0.55%
"Apr 26, 2016","29,158","29,151","29,199","28,981",15.14K,-0.09%
"Apr 25, 2016","29,183","29,050","29,200","28,983",14.64K,0.84%
"Apr 22, 2016","28,941","29,321","29,343","28,914",19.32K,-1.18%
